specifictime,hour,SYN,SYN-ACK,ACK,SENDPCK,DELAYFR,DELAYFDNS,RETRAND,RETANSU,type,day_of_month,month,year
2021-06-10 19:24:59,19,47.0,853.5,7.0,46.5,10.0,46.0,0.0,0.0,1,10,6,2021
2021-06-10 19:24:59,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,6,2021
2021-06-10 19:24:59,19,48.0,747.0,4.0,47.5,298.0,52.0,0.25,0.0,1,10,6,2021
2021-06-10 19:29:59,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,1,10,6,2021
2021-06-10 19:29:59,19,25.0,26.0,15.0,25.0,15.0,25.0,0.2778,0.0,1,10,6,2021
2021-06-10 19:34:59,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,6,2021
2021-06-10 19:34:59,19,50.0,98.0,5.0,49.5,4.0,58.0,0.1905,0.0,1,10,6,2021
2021-06-10 19:39:59,19,0.0,0.0,0.0,50.0,418.0,0.0,0.3636,0.15,1,10,6,2021
2021-06-10 19:39:59,19,0.0,0.0,0.0,10628.0,36.0,50.0,0.44,0.2941,1,10,6,2021
2021-06-10 19:44:59,19,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,6,2021
2021-06-10 19:44:59,19,37.2,1782.4,7.8,36.8,38.0,38.0,0.0,0.0,1,10,6,2021
2021-06-10 19:49:59,19,49.0,7.0,2.0,50.0,6.0,55.0,0.2143,0.0833,1,10,6,2021
2021-06-10 19:49:59,19,26.0,1991.0,21.0,34.33,137.0,26.0,0.2667,0.2143,1,10,6,2021
2021-06-10 19:49:59,19,46.27,24.73,6.09,46.0,5.0,46.0,0.0,0.0,1,10,6,2021
2021-06-10 19:54:59,19,0.0,0.0,0.0,50.0,4.0,0.0,0.375,0.2857,1,10,6,2021
2021-06-10 19:59:59,19,0.0,0.0,0.0,49.0,0.0,0.0,0.3793,0.1667,1,10,6,2021
2021-06-10 19:59:59,19,39.17,1260.33,5.83,39.0,4.0,39.0,0.0,0.0,1,10,6,2021
2021-06-10 19:59:59,19,46.0,1104.0,3.0,46.0,81.0,51.0,0.0,0.2308,1,10,6,2021
2021-06-10 20:04:59,20,45.0,1901.0,8.0,45.0,5.0,45.0,0.0,0.0,1,10,6,2021
2021-06-10 20:04:59,20,32.0,3.0,24.0,32.0,5.0,32.0,0.0,0.2333,1,10,6,2021
2021-06-10 20:09:59,20,0.0,0.0,0.0,45.0,172.0,0.0,0.4286,0.0,1,10,6,2021
2021-06-10 20:14:59,20,46.0,5861.0,5.0,46.5,8.0,60.0,0.2558,0.1538,1,10,6,2021
2021-06-10 20:14:59,20,46.33,1086.67,7.33,46.0,209.0,46.0,0.1778,0.0,1,10,6,2021
2021-06-10 20:14:59,20,25.0,1000.0,64.0,35.5,195.0,25.0,0.1875,0.1714,1,10,6,2021
2021-06-10 20:19:59,20,0.0,0.0,0.0,46.0,32.0,0.0,0.3529,0.0952,1,10,6,2021
2021-06-10 20:24:59,20,27.0,0.0,0.0,47.0,48.0,0.0,0.2692,0.2,1,10,6,2021
2021-06-10 20:24:59,20,25.0,5.0,4.0,35.5,161.0,25.0,0.3429,0.087,1,10,6,2021
2021-06-10 20:29:59,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4706,1,10,6,2021
2021-06-10 20:29:59,20,0.0,0.0,0.0,50593.0,0.0,0.0,0.4444,0.0,1,10,6,2021
2021-06-10 20:29:59,20,27.5,2.5,8.5,27.5,6.0,28.0,0.0,0.0,1,10,6,2021
2021-06-10 20:29:59,20,4.67,18.67,6.67,4.67,0.0,4.0,0.0,0.0,1,10,6,2021
2021-06-10 20:34:59,20,48.0,2528.5,7.5,48.0,0.0,48.0,0.0833,0.0556,1,10,6,2021
2021-06-10 20:34:59,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,6,2021
2021-06-10 20:34:59,20,50.0,5061.0,3.0,50.0,13.0,57.0,0.0909,0.0,1,10,6,2021
2021-06-10 20:34:59,20,0.0,0.0,0.0,0.0,2.0,58.0,0.0,0.2917,1,10,6,2021
2021-06-10 20:39:59,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,6,2021
2021-06-10 20:39:59,20,25.0,2.0,3.0,25.0,2.0,25.0,0.0,0.0,1,10,6,2021
2021-06-10 20:44:59,20,27.0,2.0,3.0,27.0,3.0,26.0,0.0,0.0,1,10,6,2021
2021-06-10 20:44:59,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4706,1,10,6,2021
2021-06-10 20:44:59,20,26.0,1314.0,38.0,37.5,119.0,48.0,0.2857,0.1887,1,10,6,2021
2021-06-10 20:49:59,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444,1,10,6,2021
2021-06-10 20:49:59,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,6,2021
2021-06-10 20:54:59,20,23.0,3.0,5.0,23.0,0.0,23.0,0.0,0.2286,1,10,6,2021
2021-06-10 20:59:59,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4118,1,10,6,2021
2021-06-10 21:04:59,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2759,1,10,6,2021
2021-06-10 21:04:59,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,6,2021
2021-06-10 21:09:59,21,24.0,2.0,2.0,25.0,3.0,24.0,0.0,0.0,1,10,6,2021
2021-06-10 21:14:59,21,5.0,2.0,2.0,5.0,5.0,17.0,0.0,0.0,1,10,6,2021
2021-06-10 21:14:59,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,6,2021
2021-06-10 21:14:59,21,0.0,0.0,0.0,52.5,2.0,67.0,0.0,0.1892,1,10,6,2021
2021-06-10 21:14:59,21,28.0,77.33,1.0,28.67,71.0,28.0,0.0,0.0,1,10,6,2021
2021-06-10 21:14:59,21,26.33,7.0,1.67,26.0,79.0,26.0,0.0,0.0,1,10,6,2021
2021-06-10 21:19:59,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,1,10,6,2021
2021-06-10 21:19:59,21,21.67,80.67,2.33,37.0,31.0,37.0,0.006,0.0,1,10,6,2021
2021-06-10 21:19:59,21,30.0,2.0,1.0,31.0,5.0,31.0,0.0,0.0,1,10,6,2021
2021-06-10 21:19:59,21,4.33,110.0,0.67,4.67,103.0,4.0,0.0121,0.0,1,10,6,2021
2021-06-10 21:19:59,21,4.33,28.33,2.33,4.0,21.0,4.0,0.0,0.0,1,10,6,2021
2021-06-10 21:19:59,21,25.0,5.0,13.0,25.0,10.0,24.0,0.0,0.0,1,10,6,2021
2021-06-10 21:19:59,21,36.0,1.67,1.0,35.0,56.0,35.0,0.0,0.0,1,10,6,2021
2021-06-10 21:24:59,21,19.67,9.67,1.0,20.0,10.0,20.0,0.0,0.0,1,10,6,2021
2021-06-10 21:24:59,21,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1,10,6,2021
2021-06-10 21:24:59,21,29.33,5.63,0.8,29.33,15.0,29.0,0.0,0.0,1,10,6,2021
2021-06-10 21:24:59,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2593,1,10,6,2021
2021-06-10 21:24:59,21,12.0,5.0,2.0,13.0,16.0,11.0,0.0023,0.0,1,10,6,2021
2021-06-10 21:24:59,21,5.0,2.0,1.0,6.0,5.0,17.0,0.0,0.0,1,10,6,2021
2021-06-10 21:24:59,21,0.0,0.0,0.0,50.0,113.0,50.0,0.0,0.0,1,10,6,2021
2021-06-10 21:24:59,21,24.33,3.2,1.0,24.23,15.0,24.0,0.0005,0.0,1,10,6,2021
2021-06-10 21:29:59,21,21.0,6.0,4.0,23.0,45.0,22.0,0.0008,0.0,1,10,6,2021
2021-06-10 21:29:59,21,49.5,1405.0,8.5,49.5,3.0,49.0,0.0,0.0,1,10,6,2021
2021-06-10 21:29:59,21,0.0,0.0,0.0,49.0,231.0,0.0,0.0,0.2258,1,10,6,2021
2021-06-10 21:29:59,21,25.0,3.0,5.0,25.0,6.0,25.0,0.0,0.125,1,10,6,2021
2021-06-10 21:29:59,21,38.0,3.0,6.0,38.0,5.0,48.0,0.0968,0.0,1,10,6,2021
2021-06-10 21:34:59,21,0.0,0.0,0.0,50.0,18.0,0.0,0.375,0.0,1,10,6,2021
2021-06-10 21:39:59,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,6,2021
2021-06-10 21:39:59,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3846,1,10,6,2021
2021-06-10 21:44:59,21,31.0,955.0,43.0,43.67,115.0,31.0,0.2941,0.1034,1,10,6,2021
2021-06-10 21:49:59,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,6,2021
2021-06-10 21:49:59,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,10,6,2021
2021-06-10 21:49:59,21,25.5,428.5,5.5,25.0,4.0,25.0,0.0,0.0,1,10,6,2021
2021-06-10 21:54:59,21,0.0,0.0,0.0,49.0,16.0,0.0,0.4118,0.2333,1,10,6,2021
2021-06-10 21:59:59,21,25.0,5.0,8.0,37.0,829.0,25.0,0.3871,0.0526,1,10,6,2021
2021-06-10 22:04:59,22,0.0,0.0,0.0,50.0,5.0,0.0,0.4,0.0,1,10,6,2021
2021-06-10 22:04:59,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,6,2021
2021-06-10 22:04:59,22,8.0,3.0,2.0,8.0,3.0,16.0,0.0,0.0,1,10,6,2021
2021-06-10 22:09:59,22,25.0,1011.0,53.0,25.0,101.0,24.0,0.2,0.0,1,10,6,2021
2021-06-10 22:09:59,22,7.0,4.0,3.0,7.0,9.0,7.0,0.0,0.0,1,10,6,2021
2021-06-10 22:09:59,22,17.5,3.0,4.0,26.5,67.0,26.0,0.1667,0.0,1,10,6,2021
2021-06-10 22:09:59,22,8.0,4.0,6.0,9.0,3.0,9.0,0.0,0.0,1,10,6,2021
2021-06-10 22:14:59,22,27.0,6.0,23.0,38.5,127.0,27.0,0.1818,0.0,1,10,6,2021
2021-06-10 22:14:59,22,0.0,0.0,0.0,50.0,526.0,0.0,0.4,0.2778,1,10,6,2021
2021-06-10 22:19:59,22,4.0,3.0,3.0,4.0,12.0,4.0,0.0,0.0,1,10,6,2021
2021-06-10 22:19:59,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4706,1,10,6,2021
2021-06-10 22:24:59,22,47.33,5883.0,0.0,0.0,0.0,0.0,0.0,0.1707,1,10,6,2021
2021-06-10 22:24:59,22,45.0,1073.5,8.75,42.5,8.0,44.0,0.0,0.0,1,10,6,2021
2021-06-10 22:29:59,22,27.0,5.0,3.0,27.0,5.0,27.0,0.0,0.0,1,10,6,2021
2021-06-10 22:29:59,22,0.0,0.0,0.0,50.0,231.0,49.0,0.0909,0.2143,1,10,6,2021
2021-06-10 22:29:59,22,25.5,565.0,21.5,25.0,5.0,36.0,0.0,0.0,1,10,6,2021
2021-06-10 22:34:59,22,24.0,2.0,4.0,24.67,3.0,26.0,0.0,0.0,1,10,6,2021
2021-06-10 22:34:59,22,4.5,5.0,2.0,4.5,4.0,4.0,0.0,0.0,1,10,6,2021
2021-06-10 22:34:59,22,31.5,79.17,9.67,34.29,152.0,38.0,0.1389,0.0795,1,10,6,2021
2021-06-10 22:34:59,22,13.0,3.0,3.0,13.0,9.0,12.0,0.0,0.0,1,10,6,2021
2021-06-10 22:34:59,22,39.29,285.47,21.94,38.94,7.0,42.0,0.0,0.0,1,10,6,2021
2021-06-10 22:34:59,22,4.5,4.0,58.5,4.5,8.0,11.0,0.0,0.0,1,10,6,2021
2021-06-10 22:34:59,22,4.5,4.5,2.5,4.5,4.0,5.0,0.0,0.0,1,10,6,2021
2021-06-10 22:39:59,22,45.33,1003.33,8.0,45.33,5.0,45.0,0.0,0.0,1,10,6,2021
2021-06-10 22:39:59,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,6,2021
2021-06-10 22:39:59,22,25.0,15281.0,7.0,25.0,19.0,25.0,0.2353,0.2609,1,10,6,2021
2021-06-10 22:39:59,22,5.0,6.0,5.0,4.0,19.0,4.0,0.0,0.0,1,10,6,2021
2021-06-10 22:44:59,22,33.0,330.0,47.0,41.5,431.0,33.0,0.1111,0.1892,1,10,6,2021
2021-06-10 22:44:59,22,0.0,0.0,0.0,50.0,635.0,0.0,0.2727,0.2857,1,10,6,2021
2021-06-10 22:49:59,22,24.0,4.0,3.0,24.0,6.0,24.0,0.0,0.0,1,10,6,2021
2021-06-10 22:54:59,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2174,1,10,6,2021
2021-06-10 22:54:59,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,6,2021
2021-06-10 22:59:59,22,0.0,0.0,0.0,50.0,66.0,0.0,0.2,0.0,1,10,6,2021
2021-06-10 23:04:59,23,0.0,0.0,0.0,50.0,5.0,0.0,0.381,0.2647,1,10,6,2021
2021-06-10 23:04:59,23,48.0,2297.33,8.67,48.0,6.0,48.0,0.0,0.0,1,10,6,2021
2021-06-10 23:04:59,23,45.0,941.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,6,2021
2021-06-10 23:09:59,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2593,1,10,6,2021
2021-06-10 23:14:59,23,45.0,1361.0,6.0,47.0,3.0,52.0,0.2821,0.2083,1,10,6,2021
2021-06-10 23:14:59,23,31.33,667.33,4.67,31.0,6.0,34.0,0.0,0.0,1,10,6,2021
2021-06-10 23:19:59,23,0.0,0.0,0.0,44.0,743.0,0.0,0.1429,0.25,1,10,6,2021
2021-06-10 23:19:59,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2593,1,10,6,2021
2021-06-10 23:24:59,23,23.0,533.5,6.0,23.0,177.0,23.0,0.0,0.0,1,10,6,2021
2021-06-10 23:24:59,23,0.0,0.0,0.0,45.0,633.0,0.0,0.3333,0.0667,1,10,6,2021
2021-06-10 23:29:59,23,48.0,1970.0,5.0,48.0,6.0,48.0,0.0,0.0,1,10,6,2021
2021-06-10 23:29:59,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,6,2021
2021-06-10 23:29:59,23,46.0,6049.0,0.0,0.0,0.0,0.0,0.0,0.2632,1,10,6,2021
2021-06-10 23:34:59,23,0.0,0.0,0.0,45.0,259.0,0.0,0.1667,0.2143,1,10,6,2021
2021-06-10 23:39:59,23,0.0,0.0,0.0,45.0,252.0,0.0,0.2857,0.3125,1,10,6,2021
2021-06-10 23:39:59,23,0.0,0.0,0.0,44.0,810.0,0.0,0.3333,0.0,1,10,6,2021
2021-06-10 23:44:59,23,31.67,1026.0,4.67,31.33,3.0,35.0,0.0,0.0,1,10,6,2021
2021-06-10 23:49:59,23,24.0,2.0,2.0,25.0,2.0,25.0,0.0,0.0,1,10,6,2021
2021-06-10 23:49:59,23,46.5,626.25,5.5,46.5,267.0,46.0,0.0571,0.0345,1,10,6,2021
2021-06-10 23:49:59,23,36.5,18.5,4.5,39.33,8.0,46.0,0.2857,0.1923,1,10,6,2021
2021-06-10 23:54:59,23,50.0,502.5,5.5,50.0,7.0,50.0,0.0,0.0,1,10,6,2021
2021-06-10 23:54:59,23,0.0,0.0,0.0,48.0,254.0,0.0,0.0,0.0,1,10,6,2021
2021-06-10 23:59:59,23,0.0,0.0,0.0,48.0,251.0,0.0,0.2857,0.1,1,10,6,2021
2021-06-10 23:59:59,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1,10,6,2021
2021-06-11 00:09:59,0,0.0,0.0,0.0,48.0,0.0,0.0,0.3704,0.3143,1,11,6,2021
2021-06-11 00:09:59,0,37.5,537.0,6.5,37.5,19.0,37.0,0.0,0.0,1,11,6,2021
2021-06-11 00:14:59,0,40.67,1260.33,2.67,40.33,53.0,48.0,0.2105,0.1579,1,11,6,2021
2021-06-11 00:14:59,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,6,2021
2021-06-11 00:19:59,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,1,11,6,2021
2021-06-11 00:19:59,0,28.0,4038.0,10.0,27.5,8.0,27.0,0.0,0.0,1,11,6,2021
2021-06-11 00:24:59,0,49.5,3086.5,5.0,49.33,84.0,56.0,0.2174,0.1964,1,11,6,2021
2021-06-11 00:24:59,0,49.0,984.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,6,2021
2021-06-11 00:29:59,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,6,2021
2021-06-11 00:34:59,0,26.0,98557.0,30036.0,26.0,16.0,25.0,0.0,0.1111,1,11,6,2021
2021-06-11 00:39:59,0,40.5,4038.0,4.0,52.0,23.0,63.0,0.2745,0.2041,1,11,6,2021
2021-06-11 00:39:59,0,26.0,3024.0,39.0,25.0,6.0,25.0,0.0,0.0,1,11,6,2021
2021-06-11 00:44:59,0,48.5,560.0,5.0,48.5,7.0,48.0,0.0,0.0,1,11,6,2021
2021-06-11 00:49:59,0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,6,2021
2021-06-11 00:49:59,0,35.5,451.0,5.5,44.0,7.0,45.0,0.32,0.1212,1,11,6,2021
2021-06-11 00:54:59,0,25.0,2187.0,13.0,25.0,6.0,25.0,0.0,0.0,1,11,6,2021
2021-06-11 00:54:59,0,33.0,1748.67,5.0,33.0,5.0,33.0,0.0,0.0,1,11,6,2021
2021-06-11 00:59:59,0,49.0,1460.0,2.0,48.0,4.0,59.0,0.0667,0.0526,1,11,6,2021
2021-06-11 00:59:59,0,26.0,117.0,56.0,25.0,127.0,25.0,0.1667,0.0,1,11,6,2021
2021-06-11 01:04:59,1,26.0,2294.0,7.0,25.0,6.0,25.0,0.0,0.2143,1,11,6,2021
2021-06-11 01:09:59,1,35.0,1705.67,4.33,35.33,3.0,35.0,0.0,0.0,1,11,6,2021
2021-06-11 01:09:59,1,37.0,2044.0,8.0,38.0,20.0,25.0,0.2414,0.2353,1,11,6,2021
2021-06-11 01:09:59,1,47.0,3113.0,5.0,46.0,6.0,46.0,0.0,0.0,1,11,6,2021
2021-06-11 01:19:59,1,26.0,3917.0,71.0,41.5,32.0,27.0,0.3,0.3125,1,11,6,2021
2021-06-11 01:24:59,1,32.0,3.0,58.0,31.0,6.0,31.0,0.1667,0.0,1,11,6,2021
2021-06-11 01:24:59,1,26.0,3379.0,18.0,41.5,282.0,26.0,0.2581,0.125,1,11,6,2021
2021-06-11 01:29:59,1,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,6,2021
2021-06-11 01:34:59,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4286,1,11,6,2021
2021-06-11 01:34:59,1,0.0,0.0,0.0,60.0,297.0,0.0,0.3,0.2,1,11,6,2021
2021-06-11 01:39:59,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,6,2021
2021-06-11 01:44:59,1,0.0,0.0,0.0,51.0,5.0,0.0,0.3333,0.2857,1,11,6,2021
2021-06-11 01:44:59,1,51.0,3052.0,6.0,54.0,84.0,60.0,0.2439,0.1957,1,11,6,2021
2021-06-11 01:49:59,1,47.0,3114.0,8.0,47.0,5.0,47.0,0.0,0.0,1,11,6,2021
2021-06-11 01:49:59,1,36.5,3596.5,8.0,38.5,155.0,26.0,0.2667,0.1905,1,11,6,2021
2021-06-11 01:54:59,1,0.0,0.0,0.0,51.0,222.0,0.0,0.3333,0.0,1,11,6,2021
2021-06-11 01:54:59,1,25.0,2067.0,39.0,38.0,129.0,25.0,0.2857,0.0,1,11,6,2021
2021-06-11 01:59:59,1,36.0,24.0,3.25,36.25,5.0,36.0,0.0,0.0,1,11,6,2021
2021-06-11 02:04:59,2,0.0,0.0,0.0,52.0,0.0,0.0,0.3889,0.3,1,11,6,2021
2021-06-11 02:09:59,2,46.0,459.5,6.0,45.5,5.0,45.0,0.0,0.0,1,11,6,2021
2021-06-11 02:09:59,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2609,1,11,6,2021
2021-06-11 02:09:59,2,49.0,5245.5,2.0,49.0,18.0,55.0,0.1333,0.08,1,11,6,2021
2021-06-11 02:19:59,2,49.5,1021.5,22.5,48.5,2.0,48.0,0.25,0.0,1,11,6,2021
2021-06-11 02:19:59,2,27.0,1038.0,65.0,26.0,6.0,26.0,0.0,0.1852,1,11,6,2021
2021-06-11 02:24:59,2,0.0,0.0,0.0,49.0,30.0,0.0,0.3462,0.1579,1,11,6,2021
2021-06-11 02:29:59,2,44.0,1989.0,5.0,43.0,10.0,43.0,0.0,0.0,1,11,6,2021
2021-06-11 02:29:59,2,25.0,4.0,9.0,25.0,210.0,25.0,0.2857,0.2258,1,11,6,2021
2021-06-11 02:39:59,2,30.75,1427.33,13.67,36.5,202.0,42.0,0.2698,0.1774,1,11,6,2021
2021-06-11 02:44:59,2,23.0,1803.0,39.0,23.0,3.0,23.0,0.0,0.2778,1,11,6,2021
2021-06-11 02:44:59,2,46.0,0.0,0.0,46.0,890.0,0.0,0.25,0.0833,1,11,6,2021
2021-06-11 02:49:59,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,6,2021
2021-06-11 02:54:59,2,47.0,3074.0,7.0,48.0,8.0,48.0,0.0,0.0,1,11,6,2021
2021-06-11 02:54:59,2,0.0,0.0,0.0,47.0,8.0,0.0,0.3333,0.3684,1,11,6,2021
2021-06-11 02:54:59,2,47.0,0.0,0.0,46.0,24.0,0.0,0.2188,0.1333,1,11,6,2021
2021-06-11 02:59:59,2,46.5,1899.5,8.0,46.0,5.0,46.0,0.0,0.0,1,11,6,2021
2021-06-11 02:59:59,2,0.0,0.0,0.0,46.0,0.0,0.0,0.4091,0.0,1,11,6,2021
2021-06-11 02:59:59,2,38.33,1975.33,30.5,34.5,96.0,45.0,0.1667,0.0,1,11,6,2021
2021-06-11 03:04:59,3,51.0,472.0,5.0,47.0,31.0,58.0,0.2609,0.1951,1,11,6,2021
2021-06-11 03:09:59,3,0.0,0.0,0.0,51.0,5.0,0.0,0.375,0.2308,1,11,6,2021
2021-06-11 03:09:59,3,46.0,341.67,5.33,46.0,4.0,46.0,0.0,0.0,1,11,6,2021
2021-06-11 03:09:59,3,49.0,210.0,2.0,51.5,10.0,55.0,0.2273,0.125,1,11,6,2021
2021-06-11 03:14:59,3,46.0,301.0,3.0,48.0,37.0,52.0,0.2813,0.15,1,11,6,2021
2021-06-11 03:19:59,3,24.0,1028.0,9.0,24.0,6.0,24.0,0.0,0.2414,1,11,6,2021
2021-06-11 03:24:59,3,0.0,0.0,0.0,31514.0,0.0,0.0,0.0,0.0,1,11,6,2021
2021-06-11 03:24:59,3,33.0,3.0,3.0,33.0,4.0,32.0,0.0,0.0,1,11,6,2021
2021-06-11 03:24:59,3,0.0,0.0,0.0,46.0,435.0,0.0,0.4444,0.0,1,11,6,2021
2021-06-11 03:24:59,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,1,11,6,2021
2021-06-11 03:29:59,3,49.0,2131.0,5.0,47.0,3.0,54.0,0.1852,0.2778,1,11,6,2021
2021-06-11 03:34:59,3,47.0,3.0,2.0,48.5,3.0,57.0,0.3143,0.1579,1,11,6,2021
2021-06-11 03:34:59,3,46.0,2077.0,6.0,46.0,7.0,46.0,0.0,0.0,1,11,6,2021
2021-06-11 03:39:59,3,34.33,1199.5,20.0,39.0,6.0,47.0,0.2245,0.2143,1,11,6,2021
2021-06-11 03:44:59,3,45.0,1540.0,5.5,44.5,5.0,44.0,0.0,0.0,1,11,6,2021
2021-06-11 03:49:59,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,6,2021
2021-06-11 03:49:59,3,0.0,0.0,0.0,45.0,69.0,0.0,0.1429,0.25,1,11,6,2021
2021-06-11 03:54:59,3,25.0,1101.0,43.0,34.5,354.0,25.0,0.36,0.2,1,11,6,2021
2021-06-11 03:59:59,3,0.0,0.0,0.0,45.0,188.0,0.0,0.3333,0.2857,1,11,6,2021
2021-06-11 04:04:59,4,45.0,2.0,7.0,46.0,181.0,55.0,0.1739,0.0,1,11,6,2021
2021-06-11 04:04:59,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11,6,2021
2021-06-11 04:04:59,4,40.67,207.0,3.83,40.67,4.0,40.0,0.0,0.0,1,11,6,2021
